    40/499     12.1G   0.03519   0.09813  0.008678     0.142       172      1376    0.5537    0.4427    0.4487    0.2529   0.04442    0.3917   0.02641
    41/499     12.1G   0.03512    0.0984  0.008557    0.1421       177      1376    0.5287    0.4621    0.4501    0.2553   0.04439     0.395   0.02612
    42/499     12.1G   0.03486   0.09709  0.008495    0.1404       248      1376    0.5392    0.4566    0.4535    0.2563   0.04412    0.3948    0.0262
    43/499     12.1G   0.03472   0.09704  0.008562    0.1403        64      1376    0.5498    0.4535    0.4544    0.2579   0.04411    0.3921   0.02598
    44/499     12.1G   0.03474   0.09719  0.008322    0.1402       146      1376    0.5424    0.4594    0.4562    0.2594   0.04395    0.3909   0.02668
    45/499     12.1G    0.0348    0.0967  0.008368    0.1399        77      1376    0.5441    0.4745    0.4639    0.2628    0.0439    0.3924   0.02582
    46/499     12.1G   0.03437   0.09657  0.008275    0.1392        81      1376    0.5502    0.4689    0.4659     0.266   0.04374     0.394   0.02657
    47/499     12.1G   0.03445   0.09733  0.008184      0.14       190      1376    0.5581    0.4656     0.466    0.2638   0.04358    0.3912   0.02684
    48/499     12.1G   0.03441   0.09694  0.008208    0.1396       226      1376    0.5546    0.4702     0.469     0.267   0.04363    0.3912   0.02597
    49/499     12.1G   0.03423    0.0962  0.008107    0.1385       528      1376    0.5588    0.4675    0.4687    0.2662   0.04361    0.3922    0.0257
    50/499     12.1G   0.03434   0.09489  0.008062    0.1373       255      1376     0.548    0.4758    0.4696    0.2679   0.04344    0.3932   0.02572
    51/499     12.1G   0.03407   0.09694  0.008004     0.139       303      1376    0.5472    0.4788    0.4734    0.2713   0.04324    0.3924   0.02586
    52/499     12.1G    0.0342   0.09675  0.008006    0.1389       310      1376    0.5543    0.4731    0.4734    0.2712    0.0433      0.39   0.02645
    53/499     12.1G   0.03406   0.09606  0.007957    0.1381       183      1376    0.5693    0.4708    0.4723    0.2723   0.04307     0.395   0.02589
    54/499     12.1G   0.03397    0.0953  0.007886    0.1372       289      1376    0.5633    0.4763    0.4746     0.273    0.0431    0.3924   0.02626
    55/499     12.1G   0.03395   0.09516  0.007945     0.137        70      1376    0.5446    0.4872    0.4767    0.2729     0.043    0.3921   0.02611
    56/499     12.1G    0.0339    0.0956  0.007846    0.1373       243      1376    0.5655     0.481     0.482    0.2767   0.04296    0.3908   0.02578
    57/499     12.1G   0.03389   0.09557  0.007819    0.1373       474      1376    0.5728    0.4715      0.48    0.2762   0.04283    0.3948     0.026
    58/499     12.1G   0.03374   0.09562  0.007721    0.1371       191      1376    0.5677    0.4843    0.4816    0.2773   0.04277    0.3904   0.02583
    59/499     12.1G   0.03358   0.09531   0.00768    0.1366       325      1376    0.5714    0.4822    0.4848    0.2795   0.04278     0.391   0.02594
    60/499     12.1G   0.03363   0.09507  0.007637    0.1363        59      1376    0.5787    0.4785    0.4864    0.2806   0.04265    0.3917   0.02659
    61/499     12.1G   0.03357   0.09419  0.007734    0.1355       500      1376    0.5726    0.4898    0.4898    0.2805   0.04263    0.3925   0.02616
    62/499     12.1G   0.03355    0.0948  0.007598    0.1359       229      1376    0.5625    0.4895    0.4877    0.2812   0.04252    0.3928   0.02604
    63/499     12.1G   0.03348   0.09503  0.007573    0.1361       370      1376    0.5925    0.4766    0.4895    0.2826   0.04253    0.3919   0.02621
    64/499     12.1G   0.03345   0.09335  0.007508    0.1343       218      1376     0.558    0.4979    0.4905     0.282   0.04241     0.394   0.02613
    65/499     12.1G   0.03337   0.09331  0.007496    0.1342       100      1376    0.5852    0.4834    0.4923    0.2848   0.04239    0.3956   0.02599
    66/499     12.1G   0.03332   0.09362  0.007469    0.1344       334      1376    0.5716    0.4962    0.4931    0.2857   0.04219    0.3928   0.02565
    67/499     12.1G   0.03331   0.09603  0.007507    0.1368       536      1376    0.5801    0.4869    0.4955    0.2876   0.04222    0.3927   0.02582
    68/499     12.1G   0.03325   0.09254  0.007444    0.1332       123      1376    0.5875    0.4876    0.4965    0.2884   0.04214    0.3941   0.02589
    69/499     12.1G   0.03336   0.09331  0.007408    0.1341       192      1376    0.5687    0.5019    0.4981    0.2887   0.04217    0.3907    0.0262
    70/499     12.1G   0.03335    0.0939  0.007445    0.1347       208      1376    0.5964     0.485    0.4995    0.2901   0.04204    0.3926   0.02572
    71/499     12.1G   0.03295   0.09294  0.007315    0.1332       149      1376    0.5828    0.4941    0.4991    0.2897   0.04201    0.3943   0.02622
    72/499     12.1G   0.03316   0.09553  0.007259    0.1359       193      1376     0.584    0.4947    0.5015    0.2912   0.04205     0.394   0.02627
    73/499     12.1G    0.0332    0.0929  0.007281    0.1334       399      1376    0.5655    0.5061    0.5032    0.2924   0.04196    0.3945   0.02593
    74/499     12.1G    0.0329   0.09324  0.007299    0.1334       110      1376    0.6003    0.4852    0.5019    0.2912   0.04194     0.396   0.02596
    75/499     12.1G   0.03307   0.09367  0.007336    0.1341       473      1376    0.5702    0.5033    0.5018    0.2916   0.04193    0.3958   0.02598
    76/499     12.1G   0.03296   0.09367  0.007243    0.1339       301      1376    0.5803     0.501    0.5041    0.2932   0.04181    0.3955    0.0261
    77/499     12.1G   0.03278   0.09348  0.007208    0.1335       125      1376    0.5664    0.5154     0.507    0.2948   0.04165    0.3946     0.026
    78/499     12.1G   0.03288   0.09379  0.007104    0.1338       496      1376     0.577    0.5074    0.5062    0.2951   0.04165    0.3956   0.02618
    79/499     12.1G   0.03276   0.09261  0.007214    0.1326       218      1376    0.5868    0.5045     0.509    0.2961   0.04152    0.3971   0.02562
    80/499     12.1G   0.03279   0.09415  0.007111     0.134       156      1376    0.5691    0.5158      0.51    0.2963   0.04152    0.3969   0.02573
    81/499     12.1G   0.03286   0.09367  0.007158    0.1337       234      1376     0.569    0.5119    0.5089    0.2968   0.04149    0.3953   0.02561
    82/499     12.1G   0.03272   0.09223  0.007038     0.132       288      1376    0.5627    0.5197    0.5091    0.2973   0.04145    0.3953   0.02567
    83/499     12.1G    0.0324    0.0915  0.007009    0.1309       250      1376    0.6061    0.4924    0.5104    0.2982    0.0414    0.3956   0.02566
    84/499     12.1G   0.03266   0.09283  0.007075    0.1326       652      1376    0.6028    0.4957    0.5116    0.2982   0.04136     0.395   0.02593
    85/499     12.1G   0.03253   0.09115  0.006997    0.1307       115      1376    0.5798    0.5141     0.514    0.3001   0.04133    0.3955    0.0263
    86/499     12.1G   0.03242   0.09321  0.006925    0.1326       267      1376    0.5904    0.5088     0.516    0.3009   0.04135    0.3952   0.02605
